IF-MIB::interfaces                       1.3.6.1.2.1.2
IF-MIB::ifNumber                         1.3.6.1.2.1.2.1
IF-MIB::ifTable                          1.3.6.1.2.1.2.2
IF-MIB::ifEntry                          1.3.6.1.2.1.2.2.1
IF-MIB::ifIndex                          1.3.6.1.2.1.2.2.1.1
IF-MIB::ifDescr                          1.3.6.1.2.1.2.2.1.2
IF-MIB::ifType                           1.3.6.1.2.1.2.2.1.3
IF-MIB::ifMtu                            1.3.6.1.2.1.2.2.1.4
IF-MIB::ifSpeed                          1.3.6.1.2.1.2.2.1.5
IF-MIB::ifPhysAddress                    1.3.6.1.2.1.2.2.1.6
IF-MIB::ifAdminStatus                    1.3.6.1.2.1.2.2.1.7
IF-MIB::ifOperStatus                     1.3.6.1.2.1.2.2.1.8
IF-MIB::ifLastChange                     1.3.6.1.2.1.2.2.1.9
IF-MIB::ifInOctets                       1.3.6.1.2.1.2.2.1.10
IF-MIB::ifInUcastPkts                    1.3.6.1.2.1.2.2.1.11
IF-MIB::ifInNUcastPkts                   1.3.6.1.2.1.2.2.1.12
IF-MIB::ifInDiscards                     1.3.6.1.2.1.2.2.1.13
IF-MIB::ifInErrors                       1.3.6.1.2.1.2.2.1.14
IF-MIB::ifInUnknownProtos                1.3.6.1.2.1.2.2.1.15
IF-MIB::ifOutOctets                      1.3.6.1.2.1.2.2.1.16
IF-MIB::ifOutUcastPkts                   1.3.6.1.2.1.2.2.1.17
IF-MIB::ifOutNUcastPkts                  1.3.6.1.2.1.2.2.1.18
IF-MIB::ifOutDiscards                    1.3.6.1.2.1.2.2.1.19
IF-MIB::ifOutErrors                      1.3.6.1.2.1.2.2.1.20
IF-MIB::ifOutQLen                        1.3.6.1.2.1.2.2.1.21
IF-MIB::ifSpecific                       1.3.6.1.2.1.2.2.1.22
